2017-02-01 11:34:11,405 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:39:48,285 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 13:39:48,285 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 13:39:48,286 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 13:39:48,286 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 13:39:48,286 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 13:39:48,287 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 13:39:48,287 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 13:39:48,287 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
2017-02-01 13:39:51,974 | INFO  | Connected [ true ] | root | main
2017-02-01 13:39:56,338 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:39:57,706 | INFO  | Connected: true | root | main
2017-02-01 13:39:57,720 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 13:39:57,772 | INFO  | Creating entry for buddy 'test2@ef-app2' with name test | root | main
2017-02-01 13:39:57,786 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 13:39:57,798 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
2017-02-01 13:39:57,800 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 13:39:57,805 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 13:39:57,807 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 13:39:57,808 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 13:39:57,812 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 13:39:57,825 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 13:39:57,828 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 13:39:57,829 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
2017-02-01 13:40:45,065 | INFO  | Connected [ true ] | root | main
2017-02-01 13:40:48,499 | INFO  | Initializing connection to server 192.168.1.38 port 5222 | root | main
2017-02-01 13:40:49,629 | INFO  | Connected: true | root | main
2017-02-01 13:40:49,644 | INFO  | Before login userName [ test ] password [ 123456 ] | root | main
2017-02-01 13:40:49,689 | INFO  | Creating entry for buddy 'test2@ef-app2/Smack' with name test | root | main
2017-02-01 13:40:49,700 | INFO  | Sending mesage 'Hello mate from test 0' to user test2 | root | main
2017-02-01 13:40:49,706 | INFO  | Sending mesage 'Hello mate from test 1' to user test2 | root | main
2017-02-01 13:40:49,707 | INFO  | Sending mesage 'Hello mate from test 2' to user test2 | root | main
2017-02-01 13:40:49,707 | INFO  | Sending mesage 'Hello mate from test 3' to user test2 | root | main
2017-02-01 13:40:49,708 | INFO  | Sending mesage 'Hello mate from test 4' to user test2 | root | main
2017-02-01 13:40:49,709 | INFO  | Sending mesage 'Hello mate from test 5' to user test2 | root | main
2017-02-01 13:40:49,709 | INFO  | Sending mesage 'Hello mate from test 6' to user test2 | root | main
2017-02-01 13:40:49,710 | INFO  | Sending mesage 'Hello mate from test 7' to user test2 | root | main
2017-02-01 13:40:49,711 | INFO  | Sending mesage 'Hello mate from test 8' to user test2 | root | main
2017-02-01 13:40:49,712 | INFO  | Sending mesage 'Hello mate from test 9' to user test2 | root | main
